Avg min between sent tnx,Avg min between received tnx,Time Diff between first and last (Mins),Sent tnx,Received Tnx,Number of Created Contracts,max value received ,avg val received,avg val sent,total Ether sent,total ether balance, ERC20 total Ether received, ERC20 total ether sent, ERC20 total Ether sent contract, ERC20 uniq sent addr, ERC20 uniq rec token name,FLAG
12709.07,2958.44,1218216.73,94,8,0,2.613269,0.385685,0.032844,3.08729702,-0.001818811,403.4283054,2.260809454,0,1,7,0
10219.6,15785.09,397555.9,25,9,0,500,99.48884,70.001834,1750.045862,-854.6463029,17111.05191,11412.23068,0,2,11,0
36.61,10707.77,382472.42,4598,20,1,12.802411,2.671095,0.022688,104.3188828,-50.89698629,162829.6609,123539.9329,0,4,27,0
1497.39,176.84,319828.05,213,5,0,2,0.891098,0.040861,8.703392156,-4.247902416,397.951964,0,0,0,7,0
0,12431.27,198900.25,0,16,1,1.002069,0.769166,0,0,12.30665958,0.181283664,0,0,0,2,0
9520.7,5776.32,78197.58,7,2,0,0.265159,0.180079,0.037563,0.262941117,0.097217423,8.001,0,0,0,2,0
14106.66,3742.82,540061.9,32,24,0,1499.99958,77.125266,102.312148,3273.988723,-1422.982347,139827.7923,133086.5,0,4,26,0
3.13,4923.24,280803.43,57,57,0,0.277689,0.204013,0.203593,11.6048114,0.023940002,0,0,0,0,0,0
27681.45,11171.03,842599.05,26,11,0,34.94,16.564688,9.896423,257.307,-75.09543387,308440.3104,307097.3104,0,4,7,0
163.78,1.11,329.78,2,2,0,56.951118,50.5,50.499487,100.9989738,0.001026218,0,0,0,0,0,0
0,6324.45,113840.02,0,18,1,12.782766,5.662421,0,0,101.9235724,4.983578382,0,0,0,2,0
725.77,41108.66,292841.02,7,7,0,17.949074,8.407243,22.441764,157.0923505,-98.24164672,0,0,0,0,1,0
2477.34,6928.28,892782.2,8,126,0,0.501254,0.342666,1.2625,10.1,33.07587621,2765.749578,100,0,1,15,0
0,13339.9,226778.27,0,17,1,11.291416,4.860215,0,0,82.62366163,4.804121022,0,0,0,3,0
0,0,30.65,1,1,0,4.999,4.999,4.99774,4.99774,0.00126,0,0,0,0,0,0
1797.42,60933.08,330187.83,82,3,0,30,11.666667,0.760256,62.341,-27.341,1473.843474,0,0,0,11,0
0,0,68.87,1,1,0,0.547649,0.547649,0.546389,0.54638892,0.00126,0,0,0,0,0,0
155.22,112602.93,338429.65,4,3,0,2.337156,1.512385,2.104909,8.419634776,-3.882478376,0,0,0,0,0,0
14626.26,6594.93,955278,59,14,0,1100,167.979641,43.052269,2540.083853,-188.368881,1555219.09,1545239.028,0,12,23,0
0,5498.63,291427.53,0,53,1,1.002204,0.504895,0,0,26.75944516,0.55819781,0,0,0,2,0
3.33,51068.75,561789.58,10,11,0,20.799,5.11114,5.621492,56.21491815,0.00761642,0,0,0,0,0,0
1067.84,128.81,636162.82,68,4375,0,3.602495,1.055731,67.923395,4618.790832,0.03299662,1444.347483,4.431401966,0,2,8,0
1051.87,85496.6,345142.02,3,4,0,3.508474,1.395953,3.683667,11.051,-5.4671893,0,0,0,0,0,0
2.12,0.92,21206.93,9996,4,3,20,11,0,0,44,3106124509,100,0,1,29,0
17441.04,1245.91,160707.1,9,3,0,49.995,18.996667,6.226376,56.03738689,0.952613114,122017.8964,120100,0,1,9,0
45561.42,26284.49,802574.4,13,8,0,45.4,21.925,20.327692,264.26,-88.86,21167.384,636100,0,4,6,0
379.78,56424.63,339687.12,3,6,0,1.515068,0.888941,4.5,13.5,-8.166351,53070.89588,0,0,0,13,0
164.22,0,328.45,2,1,0,101,101,50.499487,100.9989738,0.001026218,0,0,0,0,0,0
803.95,112925.21,340383.53,2,3,0,6.995,2.333333,6.955748,13.911496,-6.911496,0,0,0,0,0,0
18649.44,15420.31,266825.07,11,4,0,4,1.67375,0.759219,8.351405033,-1.656405033,148.7699492,0,0,0,4,0
65.85,32.24,204236.48,2217,1807,0,799.99874,18.736369,15.276167,33867.26324,-10.64504551,4195.406065,4193.352,0,1,3,0
181.7,56819.72,286279.03,12,5,0,174.995,63.085,59.516667,714.2,-398.775,255.2313319,0,0,0,10,0
23359.72,27049.27,1169229.5,35,13,0,972.434,182.498725,85.766674,3001.833603,-629.3501786,95357.7025,96084.93585,0,8,11,0
20827.93,0,186707.1,8,1,0,10,10,12.688992,101.5119377,-91.51193767,0.031819385,0,0,0,1,0
4183.18,1470.01,962956.75,181,140,0,117.7,4.007761,3.288313,595.1846,-34.0981,2447415.911,2345018.342,0,34,64,0
76.32,74.96,754216.92,3424,6576,2,12867.39971,21.959042,43.26697,148146.1047,-3743.443847,3129376351,18694925.79,0,137,85,0
0,0,2.5,1,1,0,0.854871,0.854871,0.853821,0.85382138,0.00105,0,0,0,0,0,0
22.94,14237.49,242427.3,17,17,0,0.125315,0.050856,0.047446,0.80657981,0.05797088,0,0,0,0,0,0
7750.02,59605.36,531093.05,7,8,0,27.48646,6.144594,1.013286,7.093,42.0637487,2640.39347,424.4909721,0,2,15,0
621.07,5012.75,93911.63,14,17,4,379,39.759632,48.273105,675.82347,0.090278633,0.002407524,0,0,0,1,0
13243.1,38530.77,414518.23,9,8,0,1.169147,0.270796,0.421015,3.789138127,-1.622766947,320.9921798,6.15E-08,0,1,5,0
5815.7,845.41,1040169.4,30,1024,0,2.157888,0.24501,6.696126,200.883777,50.00667943,3632.662868,0,0,0,15,0
1905.13,728.9,240610.1,124,6,0,69.995,12.769696,0.647486,80.28824888,-3.670073533,1016.953872,0,0,0,8,0
24.63,3319.39,10032.05,3,3,0,10.805,5.281667,5.281031,15.84309204,0.001907957,0,0,0,0,0,0
59.56,24076.63,120621.38,4,5,0,0.669937,0.173506,0.21567,0.86268094,0.004851,0,0,0,0,0,0
56814.86,62086.18,294616.95,3,2,0,20,10,13.301956,39.90586873,-19.90586873,3.615281187,0,0,0,2,0
2.23,0,8.92,4,2,0,1897.438127,1000.5,500.249528,2000.998113,0.001886545,0,0,0,0,0,0
1466.39,44699.56,321695.25,6,7,0,23.601366,10.936062,15.753561,94.52136494,-17.96892874,2000,2000,0,1,1,0
25905.07,1129.25,161076.67,6,5,0,27.517666,13.701916,11.41756,68.50535928,0.004221,0,0,0,0,0,0
3834.85,2945.2,620113.1,121,53,0,44.425356,7.878402,3.571783,432.1857424,-14.6304328,635003.3331,603909.4009,0,14,34,0
21466.84,20051.27,674198.88,23,9,0,20.095,6.755565,4.835781,111.2229715,-50.42288815,440.5877629,1.50E-08,0,1,10,0
248.61,17068.13,611682.27,1156,19,0,600.98832,72.622476,1.206055,1394.199349,-14.37230628,22892.27349,21687.16163,0,8,13,0
